WOJ	POW	GMI	RODZ	NAZWA	NAZWA_DOD
14				MAZOWIECKIE	województwo
14	01			białobrzeski	powiat
14	01	01	3	Białobrzegi	gmina miejsko-wiejska
14	01	01	4	Białobrzegi	miasto
14	01	01	5	Białobrzegi	obszar wiejski
14	01	02	2	Promna	gmina wiejska
14	01	03	2	Radzanów	gmina wiejska
14	01	04	2	Stara Błotnica	gmina wiejska
14	01	05	2	Stromiec	gmina wiejska
14	01	06	3	Wyśmierzyce	gmina miejsko-wiejska
14	01	06	4	Wyśmierzyce	miasto
14	01	06	5	Wyśmierzyce	obszar wiejski
14	02			ciechanowski	powiat
14	02	01	1	Ciechanów	gmina miejska
14	02	02	2	Ciechanów	gmina wiejska
14	02	03	3	Glinojeck	gmina miejsko-wiejska
14	02	03	4	Glinojeck	miasto
14	02	03	5	Glinojeck	obszar wiejski
14	02	04	2	Gołymin-Ośrodek	gmina wiejska
14	02	05	2	Grudusk	gmina wiejska
14	02	06	2	Ojrzeń	gmina wiejska
14	02	07	2	Opinogóra Górna	gmina wiejska
14	02	08	2	Regimin	gmina wiejska
14	02	09	2	Sońsk	gmina wiejska
14	03			garwoliński	powiat
14	03	03	2	Borowie	gmina wiejska
14	03	01	1	Garwolin	gmina miejska
14	03	04	2	Garwolin	gmina wiejska
14	03	05	2	Górzno	gmina wiejska
14	03	02	1	Łaskarzew	gmina miejska
14	03	06	2	Łaskarzew	gmina wiejska
14	03	07	2	Maciejowice	gmina wiejska
14	03	08	2	Miastków Kościelny	gmina wiejska
14	03	09	2	Parysów	gmina wiejska
14	03	10	3	Pilawa	gmina miejsko-wiejska
14	03	10	4	Pilawa	miasto
14	03	10	5	Pilawa	obszar wiejski
14	03	11	2	Sobolew	gmina wiejska
14	03	12	2	Trojanów	gmina wiejska
14	03	13	2	Wilga	gmina wiejska
14	03	14	3	Żelechów	gmina miejsko-wiejska
14	03	14	4	Żelechów	miasto
14	03	14	5	Żelechów	obszar wiejski
14	04			gostyniński	powiat
14	04	01	1	Gostynin	gmina miejska
14	04	02	2	Gostynin	gmina wiejska
14	04	03	2	Pacyna	gmina wiejska
14	04	04	2	Sanniki	gmina wiejska
14	04	05	2	Szczawin Kościelny	gmina wiejska
14	05			grodziski	powiat
14	05	03	2	Baranów	gmina wiejska
14	05	04	3	Grodzisk Mazowiecki	gmina miejsko-wiejska
14	05	04	4	Grodzisk Mazowiecki	miasto
14	05	04	5	Grodzisk Mazowiecki	obszar wiejski
14	05	05	2	Jaktorów	gmina wiejska
14	05	01	1	Milanówek	gmina miejska
14	05	02	1	Podkowa Leśna	gmina miejska
